word,phonetic,meaning,example,pos
abandon,/əˈbændən/,放弃;遗弃,He decided to abandon his plan.,v.
ability,/əˈbɪlətɪ/,能力;才能,She has the ability to learn quickly.,n.
able,/ˈeɪbəl/,能够的;有能力的,He is able to speak three languages.,adj.
about,/əˈbaʊt/,关于;大约,This book is about science.,prep.
above,/əˈbʌv/,在...上方;超过,The plane flew above the clouds.,prep.
absence,/ˈæbsəns/,缺席;不在,His absence was noticed by everyone.,n.
absolute,/ˈæbsəluːt/,绝对的;完全的,She has absolute confidence in her team.,adj.
absolutely,/ˈæbsəluːtlɪ/,绝对地;完全地,You are absolutely right.,adv.
absorb,/əbˈzɔːb/,吸收;吸引,Plants absorb sunlight.,v.
abstract,/ˈæbstrækt/,抽象的;摘要,Abstract art is hard to understand.,adj.
academic,/ˌækəˈdemɪk/,学术的;学院的,She works in an academic environment.,adj.
accept,/əkˈsept/,接受;承认,I accept your invitation.,v.
access,/ˈækses/,进入;使用权,Students have access to the library.,n.
accident,/ˈæksɪdənt/,事故;意外,He was injured in a car accident.,n.
accompany,/əˈkʌmpənɪ/,陪伴;伴随,She will accompany me to the concert.,v.
accomplish,/əˈkʌmplɪʃ/,完成;实现,We accomplished our goal.,v.
according,/əˈkɔːdɪŋ/,根据;按照,According to the report it will rain.,prep.
account,/əˈkaʊnt/,账户;说明,Please check your bank account.,n.
accurate,/ˈækjərət/,准确的;精确的,The clock is very accurate.,adj.
achieve,/əˈtʃiːv/,实现;达到,She achieved her dream of becoming a doctor.,v.
acid,/ˈæsɪd/,酸;酸性的,Lemon juice contains acid.,n.
acknowledge,/əkˈnɒlɪdʒ/,承认;确认,He acknowledged his mistake.,v.
acquire,/əˈkwaɪə/,获得;取得,She acquired new skills through practice.,v.
across,/əˈkrɒs/,穿过;横过,We walked across the bridge.,prep.
act,/ækt/,行动;表演,We need to act quickly.,v.
action,/ˈækʃən/,行动;活动,The government took action immediately.,n.
active,/ˈæktɪv/,积极的;活跃的,She is an active member of the club.,adj.
activity,/ækˈtɪvətɪ/,活动;行为,Swimming is my favorite activity.,n.
actual,/ˈæktʃuəl/,实际的;真实的,The actual cost was higher than expected.,adj.
actually,/ˈæktʃuəlɪ/,实际上;事实上,Actually I prefer tea to coffee.,adv.
adapt,/əˈdæpt/,适应;改编,Animals adapt to their environment.,v.
add,/æd/,添加;增加,Please add more sugar to the tea.,v.
addition,/əˈdɪʃən/,添加;加法,In addition to English she speaks French.,n.
additional,/əˈdɪʃənəl/,额外的;附加的,We need additional information.,adj.
address,/əˈdres/,地址;演讲,What is your home address?,n.
adequate,/ˈædɪkwət/,充足的;适当的,We have adequate supplies for the trip.,adj.
adjust,/əˈdʒʌst/,调整;适应,Please adjust the temperature.,v.
administration,/ədˌmɪnɪˈstreɪʃən/,管理;行政,The school administration announced new rules.,n.
admit,/ədˈmɪt/,承认;允许进入,He admitted his guilt.,v.
adopt,/əˈdɒpt/,采纳;收养,They decided to adopt a child.,v.
adult,/ˈædʌlt/,成年人;成人的,This movie is for adults only.,n.
advance,/ədˈvɑːns/,前进;提前,Technology continues to advance.,v.
advanced,/ədˈvɑːnst/,先进的;高级的,She is taking an advanced course.,adj.
advantage,/ədˈvɑːntɪdʒ/,优势;好处,Having a car is a great advantage.,n.
adventure,/ədˈventʃə/,冒险;奇遇,Their trip was quite an adventure.,n.
advertising,/ˈædvətaɪzɪŋ/,广告;宣传,Advertising influences consumer behavior.,n.
advice,/ədˈvaɪs/,建议;忠告,Can you give me some advice?,n.
affect,/əˈfekt/,影响;感动,The weather will affect our plans.,v.
afford,/əˈfɔːd/,承担得起;提供,I cannot afford this expensive car.,v.
afraid,/əˈfreɪd/,害怕的;担心的,She is afraid of spiders.,adj.
African,/ˈæfrɪkən/,非洲的;非洲人,African music is very rhythmic.,adj.
after,/ˈɑːftə/,在...之后,We will meet after lunch.,prep.
afternoon,/ˌɑːftəˈnuːn/,下午,See you this afternoon.,n.
again,/əˈgen/,又;再,Please say it again.,adv.
against,/əˈgenst/,反对;靠着,She leaned against the wall.,prep.
age,/eɪdʒ/,年龄;时代,What is your age?,n.
agency,/ˈeɪdʒənsɪ/,代理;机构,The travel agency booked our flight.,n.
agent,/ˈeɪdʒənt/,代理人;特工,The real estate agent showed us the house.,n.
ago,/əˈgəʊ/,以前,I saw him two days ago.,adv.
agree,/əˈgriː/,同意;一致,I agree with your opinion.,v.
agreement,/əˈgriːmənt/,协议;同意,They signed an agreement.,n.